count,value
0,7.719269018
1,11.1239557841
2,11.1833768259
3,10.4787374769
4,8.5524770606
5,9.4683795173
6,10.4638555246
7,10.0921616009
8,10.0175290697
9,10.2983386618
10,10.5363762431
11,10.7547704452
12,10.678847192
13,10.6054126462
14,9.5090640692
15,10.0674269703
16,8.6920335234
17,10.0423773921
18,9.2025139799
19,8.8680798463
20,10.6948081424
21,9.6166661215
22,9.3078287564
23,9.174693522
24,9.5429312684
25,10.5904854782
26,7.8481216719
27,11.2719505828
28,8.9821557963
29,10.0675331441
30,8.6325071259
31,10.1415484998
32,11.074443244
33,8.8006616133
34,7.7902304924
35,10.0527131017
36,11.7112457363
37,8.7306497781
38,8.996942351
39,9.637276262
40,12.0786448503
41,12.0366720414
42,9.3307764927
43,9.9314157674
44,8.9422928534
45,10.7314263326
46,10.7104775125
47,10.3089041725
48,10.2030301026
49,10.2405084946
50,10.2630328022
51,8.5306613368
52,9.4974970048
53,9.6609443497
54,11.6965791953
55,10.1958443453
56,9.4143185157
57,8.6919761832
58,10.7331350948
59,7.7680044877
60,9.0112606019
61,9.4722614692
62,10.092118619
63,11.3966590001
64,9.7300051183
65,10.8900358026
66,9.8351068836
67,10.9631062059
68,11.26211714
69,12.0061619031
70,10.4032176119
71,9.4258722795
72,10.0885859722
73,8.1177309856
74,8.8935297271
75,11.6019673366
76,10.8270304403
77,9.5985939608
78,8.5073326433
79,9.7808739338
80,9.6179103238
81,9.1204101465
82,10.1367251343
83,9.4257760655
84,10.1988707683
85,11.5720424959
86,8.8704174446
87,9.9875931383
88,10.7002447351
89,8.5193815593
90,9.3123647647
91,7.9305459775
92,10.1039303287
93,10.6441643836
94,11.9543571986
95,9.5109892567
96,9.9903685124
97,8.919432885
98,8.4973131918
99,12.035417446
