count,value
0,9.9591782149
1,11.2895408206
2,9.6106664558
3,10.0347714135
4,8.4415733194
5,9.4169203837
6,9.0295621422
7,11.395706145
8,10.3969232017
9,10.153118477
10,10.2372847898
11,9.0105869437
12,10.120280205
13,9.0672428308
14,9.6673457928
15,11.6552108375
16,11.7871695268
17,9.1912804805
18,10.5799330753
19,11.6622230068
20,10.1310344478
21,9.9208614916
22,8.7081188152
23,8.0772199447
24,9.1136504074
25,7.6103475271
26,10.1053222506
27,8.336540682
28,10.4358787717
29,10.8416536386
30,9.4606217097
31,10.9830863603
32,10.3466330857
33,10.417949804
34,8.8255691863
35,8.8474254728
36,10.8812199766
37,9.4201726524
38,10.3938018087
39,10.2540074426
40,9.9462386397
41,10.199128705
42,10.182665972
43,9.5206974484
44,8.9879613208
45,9.5628816218
46,9.6436010262
47,9.0867489342
48,10.3750791252
49,9.1876844875
50,10.718735526
51,9.4321267361
52,10.1951503275
53,10.0179448218
54,8.3713631515
55,10.6799185259
56,11.3210052804
57,7.7664122196
58,9.3103023026
59,8.4974004478
60,12.105225129
61,7.749646397
62,10.0217275867
63,9.0908063238
64,11.2453348939
65,9.3207403788
66,10.7880460504
67,10.0526783006
68,8.9465655625
69,9.5435981239
70,10.3678408108
71,10.0494586335
72,10.5329513499
73,9.1721825381
74,8.9825208143
75,9.6545687302
76,10.654585641
77,8.5054558649
78,9.6235051943
79,10.352294458
80,8.3511198785
81,11.9815648317
82,10.1351740947
83,10.5039516019
84,7.5422241222
85,10.1151111328
86,10.1201192637
87,8.3022685884
88,10.347041949
89,9.1295030913
90,8.5453093397
91,11.77779027
92,9.7508951421
93,10.9793421467
94,8.8153493479
95,10.3747050079
96,8.8421706393
97,9.3304235308
98,9.0628707609
99,9.4579537352
