count,value
0,9.3405108884
1,10.8948193826
2,10.6580328489
3,10.9406097117
4,8.658229899
5,8.870345396
6,10.6290516459
7,10.2837978435
8,9.216311037
9,8.2985501268
10,11.1167901147
11,9.4558691517
12,10.7388969484
13,7.8031613516
14,10.2694758231
15,10.7858638174
16,10.0433151194
17,9.0743952718
18,10.119742997
19,9.6738473687
20,10.2679426721
21,10.1107340514
22,10.8405593363
23,9.566815861
24,9.852080298
25,9.7755433197
26,10.4552397475
27,10.719585146
28,9.6233028666
29,9.9651396975
30,10.1103554228
31,8.8596183589
32,10.0109214701
33,9.490715373
34,8.3363032643
35,10.9091044295
36,10.634554827
37,9.5835035209
38,10.4263329497
39,11.3837818791
40,10.8481173802
41,10.248596114
42,11.4762544929
43,9.4525104673
44,9.4503994722
45,7.9188967996
46,10.7819003765
47,10.1942572251
48,10.8222985935
49,9.262915854
50,10.2969797765
51,9.9276842527
52,10.3764386263
53,10.9561717284
54,11.3500691478
55,10.7920150585
56,10.0801079648
57,10.320380735
58,8.3890363374
59,9.8552078596
60,9.1791441353
61,10.1401832467
62,11.3518319238
63,8.638198588
64,9.0305307945
65,10.1192265046
66,9.766235519
67,8.8300003467
68,9.9450844107
69,9.6743913544
70,9.1606980765
71,10.2477685609
72,7.8717620252
73,11.6803968673
74,9.8675528373
75,9.6133006873
76,10.4995823597
77,11.0561239591
78,10.4424011788
79,9.8349831912
80,10.3114639879
81,9.7897274713
82,10.0672989726
83,10.9291679469
84,9.3462961377
85,8.1005054838
86,11.0053693332
87,10.7758816746
88,11.5508449991
89,11.7795989822
90,8.9764389656
91,9.8073386869
92,8.374884829
93,11.3981725576
94,9.965070441
95,9.6031291307
96,8.7312404591
97,10.6240019701
98,11.9904123913
99,9.220872784
