count,value
0,8.7273293842
1,9.4929910426
2,9.4514899674
3,8.9630477856
4,9.3988023853
5,9.461556995
6,10.9188850072
7,10.895366055
8,9.1678330177
9,9.0987054644
10,11.8903964223
11,9.7542615723
12,8.3819536529
13,9.1732950267
14,7.8441553022
15,10.3487920127
16,11.9012499222
17,10.3339672312
18,8.8336681002
19,9.6674904863
20,10.7896915241
21,9.7884852833
22,10.1862421802
23,12.437582948
24,9.8205611321
25,10.4213354241
26,9.1154193191
27,11.4609336517
28,10.7764544079
29,9.5825323428
30,8.2864895681
31,10.1265674805
32,10.9085602493
33,9.3474284178
34,8.9545303668
35,11.0931109502
36,9.3899647467
37,9.0724471298
38,11.4087094475
39,12.0012035062
40,10.4893742442
41,10.3655357877
42,10.2035756862
43,10.3457124598
44,11.1400248122
45,10.3261685094
46,10.8531990728
47,10.4383882263
48,10.8700683291
49,9.8985389097
50,10.9665548677
51,8.4010560594
52,9.7481546546
53,9.9162070493
54,10.8317034003
55,9.9360950882
56,9.6482508373
57,9.7173751977
58,9.6466732872
59,9.1934203612
60,11.0202324237
61,12.2674357743
62,10.5040952312
63,9.696240513
64,10.8179303237
65,9.8428102538
66,10.6009237098
67,10.9854619062
68,9.2518241995
69,8.6675099689
70,11.5891496946
71,10.1490804946
72,8.9749161112
73,10.0379610864
74,10.3706560892
75,10.847416489
76,11.0117290892
77,9.5072311269
78,10.0512692164
79,12.1102347043
80,11.0911644784
81,10.2950983926
82,8.5364296764
83,9.0320758797
84,7.9367308279
85,9.5032144189
86,8.9514149757
87,9.9329950508
88,12.7652252746
89,10.3091187854
90,6.0344142497
91,10.7588023439
92,9.5486711552
93,10.6904881633
94,11.4375035152
95,10.6448834106
96,7.4373945049
97,11.0644240078
98,8.9707752952
99,10.3853942516
