count,value
0,11.5246273452
1,11.0518219059
2,9.9105077722
3,10.5470773649
4,9.6333795521
5,9.3593088073
6,9.4126880294
7,10.5071808962
8,8.4353927734
9,8.4674777088
10,9.1991205437
11,8.0836532977
12,9.9179525196
13,10.8356945056
14,10.3277630434
15,10.4843730254
16,8.7617967768
17,10.1321166222
18,8.0285348314
19,11.1331916963
20,10.3991048855
21,10.3734759286
22,9.3956345405
23,9.6377565531
24,8.8792417235
25,9.4060790075
26,10.3129762427
27,10.2714329649
28,8.7820537862
29,11.3067198629
30,10.6180711831
31,9.7284733854
32,10.0806117447
33,9.2686091586
34,9.9997993165
35,9.3771041856
36,10.3711086812
37,11.002353646
38,10.8320443874
39,9.2721830937
40,9.2746642291
41,8.6485642381
42,9.7218672873
43,10.5485375682
44,7.9432965116
45,10.9893915399
46,11.1003840003
47,9.1469693337
48,10.6027961733
49,9.9345906628
50,9.0808647252
51,10.6104027233
52,11.3397947238
53,11.0900181058
54,9.5912574197
55,9.3115913076
56,9.6137209405
57,11.5532593246
58,10.8565151584
59,9.8818454728
60,9.6816205049
61,10.8303109811
62,8.9466775915
63,11.5212315662
64,9.7524104783
65,8.7991279172
66,8.5739912845
67,9.9509376476
68,9.7156566151
69,9.7672908455
70,10.1793344301
71,9.208350828
72,8.920398417
73,9.1738514261
74,10.4709428533
75,8.841943255
76,9.0277757305
77,8.9204051631
78,11.1622832686
79,8.4112508768
80,11.0708374043
81,10.3798961644
82,9.2710746421
83,11.8338168744
84,10.9964345656
85,9.974058682
86,8.4987537949
87,11.7025574304
88,9.1311173728
89,9.8183611901
90,9.9293501394
91,11.2115916498
92,10.3055615986
93,9.7303894219
94,10.3068684381
95,9.9199845466
96,10.8088035509
97,8.9013013115
98,10.1467941949
99,8.2553446439
