count,value
0,10.292759278
1,10.0795963283
2,11.5128234031
3,10.3372448216
4,9.2880921492
5,9.1197228384
6,7.0894014891
7,10.4669330313
8,9.8366551502
9,9.3099904924
10,10.345607149
11,10.3356279882
12,11.2613073654
13,9.3737589664
14,9.9236760492
15,9.7578094483
16,10.8534650972
17,10.8210471125
18,8.7472274172
19,10.5670691382
20,9.9543830669
21,10.4973764947
22,11.5925693389
23,8.8394230713
24,10.6478236533
25,8.4013756379
26,10.7711379038
27,8.6048383396
28,10.983444075
29,11.4321743349
30,10.2253991049
31,9.3236606532
32,8.966684464
33,9.2102895304
34,10.334111734
35,10.5810043021
36,10.8327303651
37,10.4398507631
38,10.1214868915
39,8.5975227909
40,8.9010173858
41,10.31494226
42,9.9692706683
43,11.5703483085
44,9.429415125
45,8.9160359453
46,9.3835084565
47,10.1892504023
48,10.5955365579
49,10.0751070307
50,10.0841122992
51,8.9994953937
52,10.7636433349
53,9.3747523872
54,9.3365353391
55,9.5111039634
56,8.7825011696
57,9.3565329508
58,11.1801935939
59,10.9604003081
60,10.6793303992
61,8.2390523536
62,8.7815668484
63,11.8023107266
64,9.7464256891
65,12.3703750312
66,8.6256757219
67,9.1442650413
68,10.1565440502
69,9.3386101352
70,10.4246002797
71,9.9784132978
72,10.3003995488
73,11.9186568157
74,9.9200254648
75,10.1132664686
76,8.7125202677
77,12.1009992108
78,11.0867310835
79,10.6149031127
80,10.2634343255
81,10.9844035885
82,10.6997413741
83,10.4280106828
84,10.3181430882
85,10.2148082238
86,8.9025190314
87,11.2845574555
88,9.7323927118
89,10.1677500259
90,10.0224418092
91,10.1859124372
92,10.3395598537
93,9.5948880015
94,8.4113184739
95,9.5992174887
96,10.7651521484
97,10.3971152561
98,10.3766445278
99,9.1895037153
