count,value
0,9.633384786
1,9.5924201132
2,9.923702281
3,12.3844830262
4,9.534335807
5,10.5400849041
6,8.6066528621
7,9.6441614269
8,10.0290480064
9,11.1042910908
10,10.5159426044
11,9.4331143134
12,11.0873319266
13,9.2518228876
14,9.469350071
15,10.8111860518
16,9.7030602684
17,10.8057738033
18,7.2528073691
19,12.9227852827
20,10.6406987971
21,10.8009383989
22,10.6757806923
23,10.4434480365
24,9.104875707
25,10.0223992778
26,9.6804725664
27,9.2193674661
28,9.7981947259
29,8.5290930644
30,10.9819819774
31,10.9242413961
32,11.482844811
33,11.5010646111
34,10.1189203153
35,9.9996272741
36,10.8450078215
37,9.8283348161
38,11.4477150784
39,11.3707822339
40,11.250158777
41,10.0315898819
42,10.2155004152
43,8.4286306165
44,11.6501591634
45,9.8822194155
46,9.2623724142
47,8.3294573933
48,11.2501421755
49,9.4768703505
50,10.1011050724
51,9.2120930515
52,11.4862628918
53,10.3975592066
54,11.2435827056
55,9.6800866756
56,9.1024044081
57,8.7307701009
58,10.053300677
59,10.1996905871
60,11.5696218064
61,9.130320808
62,9.9982746577
63,10.1328926451
64,9.8279979011
65,10.4039256629
66,11.0656106361
67,8.4222817542
68,8.8486206556
69,10.3545244358
70,10.4612613343
71,9.1319937085
72,8.9810855833
73,9.4082423296
74,8.7809675479
75,10.5349573824
76,10.590888477
77,10.8783183811
78,11.4738076011
79,12.4225185838
80,10.5221974877
81,10.2220374883
82,10.8166896266
83,8.6548675359
84,10.4183347397
85,9.8199741943
86,8.0822777122
87,8.1733242029
88,9.5832237259
89,9.2721243079
90,8.6551431916
91,10.3429130791
92,10.2684415107
93,10.7823110676
94,10.5284831669
95,10.6386014287
96,11.6319836175
97,9.2941952285
98,11.1451605518
99,10.2054465513
