count,value
0,9.3296225675
1,11.5661908797
2,10.3453417467
3,7.9876886981
4,9.2691448837
5,10.1042329332
6,9.1062182309
7,10.4106528447
8,11.2467475872
9,10.1046684217
10,10.5186296326
11,9.8577076856
12,9.7416475295
13,9.840559795
14,9.5406617174
15,10.5105135858
16,9.1323213417
17,9.8215416123
18,9.9444897623
19,9.6216023431
20,9.9403345071
21,10.5061012287
22,9.7685437195
23,9.4736785341
24,9.2485449453
25,10.4894374136
26,9.9880759047
27,9.6163511829
28,9.0929080076
29,9.8917355644
30,10.662315677
31,10.3291157298
32,8.5517317368
33,10.8897938579
34,9.8540650629
35,9.9779971358
36,10.3016785864
37,10.009909259
38,9.7291599969
39,11.0615469757
40,10.3496168936
41,8.2651697795
42,8.9509967038
43,10.3517296185
44,11.0325598391
45,10.7108199226
46,9.2557582772
47,9.2952919034
48,9.7029764057
49,11.4240295966
50,9.5557883844
51,10.2287523366
52,10.0966878928
53,11.4081748243
54,9.5957655282
55,10.3777167105
56,8.8661765546
57,10.1921629284
58,10.2504511522
59,11.0065170053
60,10.2959164317
61,9.3515066144
62,8.8657720822
63,9.9358532493
64,8.7218364513
65,11.024933253
66,11.0263822161
67,9.2067541223
68,9.9887528552
69,8.537123225
70,10.7342172271
71,9.4527425092
72,10.3275351268
73,10.1490657281
74,10.6290380465
75,10.0188407931
76,10.0577086887
77,9.6357573558
78,9.3286449549
79,9.6928435539
80,10.9974888598
81,10.8129190272
82,9.5125221881
83,11.1106550996
84,10.7905947008
85,10.1942052323
86,11.3041506674
87,9.9921216122
88,9.3734029448
89,7.8536743686
90,9.9653534782
91,11.0402169098
92,8.689553122
93,9.7545338199
94,9.3739890892
95,11.9540804572
96,9.3408570715
97,11.2751088987
98,8.5154759122
99,10.739820018
